id,split,sample_id,qa_index,speaker_a,speaker_b,question,text,locomo_category,question_type,target_speaker
conv-44_qa_13,train,conv-44,13,Audrey,Andrew,What outdoor activities has Andrew done other than hiking in nature?,"Speaker A: Audrey
Speaker B: Andrew
Question: What outdoor activities has Andrew done other than hiking in nature?",1,single_hop,speaker_b
conv-44_qa_14,train,conv-44,14,Audrey,Andrew,When did Audrey move to a new place?,"Speaker A: Audrey
Speaker B: Andrew
Question: When did Audrey move to a new place?",2,temporal,speaker_a
conv-44_qa_15,train,conv-44,15,Audrey,Andrew,What is something that Andrew really misses while working in the city?,"Speaker A: Audrey
Speaker B: Andrew
Question: What is something that Andrew really misses while working in the city?",1,single_hop,speaker_b
conv-44_qa_16,train,conv-44,16,Audrey,Andrew,What is a shared frustration regarding dog ownership for Audrey and Andrew?,"Speaker A: Audrey
Speaker B: Andrew
Question: What is a shared frustration regarding dog ownership for Audrey and Andrew?",1,single_hop,both
conv-44_qa_17,train,conv-44,17,Audrey,Andrew,When is Andrew going to go hiking with Audrey?,"Speaker A: Audrey
Speaker B: Andrew
Question: When is Andrew going to go hiking with Audrey?",2,temporal,both
conv-44_qa_18,train,conv-44,18,Audrey,Andrew,How many times did Audrey and Andew plan to hike together?,"Speaker A: Audrey
Speaker B: Andrew
Question: How many times did Audrey and Andew plan to hike together?",1,single_hop,speaker_a
conv-44_qa_19,train,conv-44,19,Audrey,Andrew,Where did Audrey get Pixie from?,"Speaker A: Audrey
Speaker B: Andrew
Question: Where did Audrey get Pixie from?",1,single_hop,speaker_a
conv-44_qa_20,train,conv-44,20,Audrey,Andrew,What is an indoor activity that Andrew would enjoy doing while make his dog happy?,"Speaker A: Audrey
Speaker B: Andrew
Question: What is an indoor activity that Andrew would enjoy doing while make his dog happy?",3,multi_hop,speaker_b
conv-44_qa_21,train,conv-44,21,Audrey,Andrew,Which meat does Audrey prefer eating more than others?,"Speaker A: Audrey
Speaker B: Andrew
Question: Which meat does Audrey prefer eating more than others?",3,multi_hop,speaker_a
conv-44_qa_22,train,conv-44,22,Audrey,Andrew,What are the classes that Audrey took for her dogs to?,"Speaker A: Audrey
Speaker B: Andrew
Question: What are the classes that Audrey took for her dogs to?",1,single_hop,speaker_a
conv-44_qa_23,train,conv-44,23,Audrey,Andrew,Where did Andrew go during the first weekend of August 2023?,"Speaker A: Audrey
Speaker B: Andrew
Question: Where did Andrew go during the first weekend of August 2023?",2,temporal,speaker_b
conv-44_qa_24,train,conv-44,24,Audrey,Andrew,What are some problems that Andrew faces before he adopted Toby?,"Speaker A: Audrey
Speaker B: Andrew
Question: What are some problems that Andrew faces before he adopted Toby?",1,single_hop,speaker_b
conv-44_qa_25,train,conv-44,25,Audrey,Andrew,Did Audrey and Andrew grow up with a pet dog?,"Speaker A: Audrey
Speaker B: Andrew
Question: Did Audrey and Andrew grow up with a pet dog?",1,single_hop,both
conv-44_qa_26,train,conv-44,26,Audrey,Andrew,When did Andrew and his girlfriend go fishing?,"Speaker A: Audrey
Speaker B: Andrew
Question: When did Andrew and his girlfriend go fishing?",2,temporal,speaker_b
conv-44_qa_27,train,conv-44,27,Audrey,Andrew,What is the biggest stressor in Andrew's life besides not being able to hike frequently?,"Speaker A: Audrey
Speaker B: Andrew
Question: What is the biggest stressor in Andrew's life besides not being able to hike frequently?",1,single_hop,speaker_b
conv-44_qa_28,train,conv-44,28,Audrey,Andrew,How does Andrew feel about his current work?,"Speaker A: Audrey
Speaker B: Andrew
Question: How does Andrew feel about his current work?",1,single_hop,speaker_b
conv-44_qa_29,train,conv-44,29,Audrey,Andrew,What is something that Audrey often dresses up her dogs with?,"Speaker A: Audrey
Speaker B: Andrew
Question: What is something that Audrey often dresses up her dogs with?",1,single_hop,speaker_a
conv-44_qa_30,train,conv-44,30,Audrey,Andrew,What are the names of Audrey's dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: What are the names of Audrey's dogs?",1,single_hop,speaker_a
conv-44_qa_31,train,conv-44,31,Audrey,Andrew,When is Andrew planning to go to the beach with his girlfriend?,"Speaker A: Audrey
Speaker B: Andrew
Question: When is Andrew planning to go to the beach with his girlfriend?",2,temporal,speaker_b
conv-44_qa_32,train,conv-44,32,Audrey,Andrew,What has Andrew done with his dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: What has Andrew done with his dogs?",1,single_hop,speaker_b
conv-44_qa_33,train,conv-44,33,Audrey,Andrew,What kind of tattoo does Audrey have on her arm?,"Speaker A: Audrey
Speaker B: Andrew
Question: What kind of tattoo does Audrey have on her arm?",1,single_hop,speaker_a
conv-44_qa_34,train,conv-44,34,Audrey,Andrew,What can Andrew potentially do to improve his stress and accomodate his living situation with his dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: What can Andrew potentially do to improve his stress and accomodate his living situation with his dogs?",3,multi_hop,speaker_b
conv-44_qa_35,train,conv-44,35,Audrey,Andrew,How many months passed between Andrew adopting Toby and Buddy?,"Speaker A: Audrey
Speaker B: Andrew
Question: How many months passed between Andrew adopting Toby and Buddy?",2,temporal,speaker_b
conv-44_qa_36,train,conv-44,36,Audrey,Andrew,What are the names of Andrew's dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: What are the names of Andrew's dogs?",1,single_hop,speaker_b
conv-44_qa_37,train,conv-44,37,Audrey,Andrew,What are some foods that Audrey likes eating?,"Speaker A: Audrey
Speaker B: Andrew
Question: What are some foods that Audrey likes eating?",1,single_hop,speaker_a
conv-44_qa_38,train,conv-44,38,Audrey,Andrew,When did Audrey get into an accident in the park?,"Speaker A: Audrey
Speaker B: Andrew
Question: When did Audrey get into an accident in the park?",2,temporal,speaker_a
conv-44_qa_39,train,conv-44,39,Audrey,Andrew,When did Andrew and his girlfriend go on a wine tasting trip?,"Speaker A: Audrey
Speaker B: Andrew
Question: When did Andrew and his girlfriend go on a wine tasting trip?",2,temporal,speaker_b
conv-44_qa_40,train,conv-44,40,Audrey,Andrew,What did Audrey get wtih having so many dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: What did Audrey get wtih having so many dogs?",1,single_hop,speaker_a
conv-44_qa_41,train,conv-44,41,Audrey,Andrew,What is a good place for dogs to run around freely and meet new friends?,"Speaker A: Audrey
Speaker B: Andrew
Question: What is a good place for dogs to run around freely and meet new friends?",1,single_hop,unknown
conv-44_qa_42,train,conv-44,42,Audrey,Andrew,What are the breeds of Audrey's dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: What are the breeds of Audrey's dogs?",1,single_hop,speaker_a
conv-44_qa_43,train,conv-44,43,Audrey,Andrew,What technique is Audrey using to discipline her dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: What technique is Audrey using to discipline her dogs?",1,single_hop,speaker_a
conv-44_qa_44,train,conv-44,44,Audrey,Andrew,Which US state do Audrey and Andrew potentially live in?,"Speaker A: Audrey
Speaker B: Andrew
Question: Which US state do Audrey and Andrew potentially live in?",3,multi_hop,both
conv-44_qa_45,train,conv-44,45,Audrey,Andrew,Which national park could Audrey and Andrew be referring to in their conversations?,"Speaker A: Audrey
Speaker B: Andrew
Question: Which national park could Audrey and Andrew be referring to in their conversations?",3,multi_hop,both
conv-44_qa_46,train,conv-44,46,Audrey,Andrew,"How many pets will Andrew have, as of December 2023?","Speaker A: Audrey
Speaker B: Andrew
Question: How many pets will Andrew have, as of December 2023?",2,temporal,speaker_b
conv-44_qa_47,train,conv-44,47,Audrey,Andrew,"How many pets did Andrew have, as of September 2023?","Speaker A: Audrey
Speaker B: Andrew
Question: How many pets did Andrew have, as of September 2023?",2,temporal,speaker_b
conv-44_qa_48,train,conv-44,48,Audrey,Andrew,How many months passed between Andrew adopting Buddy and Scout,"Speaker A: Audrey
Speaker B: Andrew
Question: How many months passed between Andrew adopting Buddy and Scout",2,temporal,speaker_b
conv-44_qa_49,train,conv-44,49,Audrey,Andrew,What does Andrew view his pets as?,"Speaker A: Audrey
Speaker B: Andrew
Question: What does Andrew view his pets as?",1,single_hop,speaker_b
conv-44_qa_50,train,conv-44,50,Audrey,Andrew,What does Audrey view her pets as?,"Speaker A: Audrey
Speaker B: Andrew
Question: What does Audrey view her pets as?",1,single_hop,speaker_a
conv-44_qa_51,train,conv-44,51,Audrey,Andrew,What is a skill that Audrey learned to take care of her dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: What is a skill that Audrey learned to take care of her dogs?",1,single_hop,speaker_a
conv-44_qa_52,train,conv-44,52,Audrey,Andrew,What items has Audrey bought or made for her dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: What items has Audrey bought or made for her dogs?",1,single_hop,speaker_a
conv-44_qa_53,train,conv-44,53,Audrey,Andrew,What is something that Andrew could do to make birdwatching hobby to fit in his city schedule?,"Speaker A: Audrey
Speaker B: Andrew
Question: What is something that Andrew could do to make birdwatching hobby to fit in his city schedule?",3,multi_hop,speaker_b
conv-44_qa_54,train,conv-44,54,Audrey,Andrew,What is a career that Andrew could potentially pursue with his love for animals and nature?,"Speaker A: Audrey
Speaker B: Andrew
Question: What is a career that Andrew could potentially pursue with his love for animals and nature?",3,multi_hop,speaker_b
conv-44_qa_55,train,conv-44,55,Audrey,Andrew,What activity do Audrey's dogs like to do in the dog park?,"Speaker A: Audrey
Speaker B: Andrew
Question: What activity do Audrey's dogs like to do in the dog park?",1,single_hop,speaker_a
conv-44_qa_56,train,conv-44,56,Audrey,Andrew,When did Andrew make his dogs a fun indoor area?,"Speaker A: Audrey
Speaker B: Andrew
Question: When did Andrew make his dogs a fun indoor area?",2,temporal,speaker_b
conv-44_qa_57,train,conv-44,57,Audrey,Andrew,Has Andrew moved into a new apartment for his dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: Has Andrew moved into a new apartment for his dogs?",1,single_hop,speaker_b
conv-44_qa_58,train,conv-44,58,Audrey,Andrew,When did Andrew adopt Scout?,"Speaker A: Audrey
Speaker B: Andrew
Question: When did Andrew adopt Scout?",2,temporal,speaker_b
conv-44_qa_59,train,conv-44,59,Audrey,Andrew,"What did Audrey eat for dinner on October 24, 2023?","Speaker A: Audrey
Speaker B: Andrew
Question: What did Audrey eat for dinner on October 24, 2023?",2,temporal,speaker_a
conv-44_qa_60,train,conv-44,60,Audrey,Andrew,"How long has it been since Andrew adopted his first pet, as of November 2023?","Speaker A: Audrey
Speaker B: Andrew
Question: How long has it been since Andrew adopted his first pet, as of November 2023?",2,temporal,speaker_b
conv-44_qa_61,train,conv-44,61,Audrey,Andrew,How many dogs does Andrew have?,"Speaker A: Audrey
Speaker B: Andrew
Question: How many dogs does Andrew have?",1,single_hop,speaker_b
conv-44_qa_62,train,conv-44,62,Audrey,Andrew,Which specific type of bird mesmerizes Andrew?,"Speaker A: Audrey
Speaker B: Andrew
Question: Which specific type of bird mesmerizes Andrew?",4,fallback_ambiguous,speaker_b
conv-44_qa_63,train,conv-44,63,Audrey,Andrew,What did Andrew express missing about exploring nature trails with his family's dog?,"Speaker A: Audrey
Speaker B: Andrew
Question: What did Andrew express missing about exploring nature trails with his family's dog?",4,fallback_ambiguous,speaker_b
conv-44_qa_64,train,conv-44,64,Audrey,Andrew,What kind of pastries did Andrew and his girlfriend have at the cafe?,"Speaker A: Audrey
Speaker B: Andrew
Question: What kind of pastries did Andrew and his girlfriend have at the cafe?",4,fallback_ambiguous,speaker_b
conv-44_qa_65,train,conv-44,65,Audrey,Andrew,What kind of flowers does Audrey have a tattoo of?,"Speaker A: Audrey
Speaker B: Andrew
Question: What kind of flowers does Audrey have a tattoo of?",4,fallback_ambiguous,speaker_a
conv-44_qa_66,train,conv-44,66,Audrey,Andrew,What does Audrey do during dog playdates in the park?,"Speaker A: Audrey
Speaker B: Andrew
Question: What does Audrey do during dog playdates in the park?",4,fallback_ambiguous,speaker_a
conv-44_qa_67,train,conv-44,67,Audrey,Andrew,What type of dog was Andrew looking to adopt based on his living space?,"Speaker A: Audrey
Speaker B: Andrew
Question: What type of dog was Andrew looking to adopt based on his living space?",4,fallback_ambiguous,speaker_b
conv-44_qa_68,train,conv-44,68,Audrey,Andrew,"Where does Andrew want to live to give their dog a large, open space to run around?","Speaker A: Audrey
Speaker B: Andrew
Question: Where does Andrew want to live to give their dog a large, open space to run around?",4,fallback_ambiguous,speaker_b
conv-44_qa_69,train,conv-44,69,Audrey,Andrew,Why did Audrey sign up for a workshop about bonding with pets?,"Speaker A: Audrey
Speaker B: Andrew
Question: Why did Audrey sign up for a workshop about bonding with pets?",4,fallback_ambiguous,speaker_a
conv-44_qa_70,train,conv-44,70,Audrey,Andrew,How did Audrey hear about the workshop on bonding with pets?,"Speaker A: Audrey
Speaker B: Andrew
Question: How did Audrey hear about the workshop on bonding with pets?",4,fallback_ambiguous,speaker_a
conv-44_qa_71,train,conv-44,71,Audrey,Andrew,What type of training was the workshop Audrey signed up for in May 2023?,"Speaker A: Audrey
Speaker B: Andrew
Question: What type of training was the workshop Audrey signed up for in May 2023?",4,fallback_ambiguous,speaker_a
conv-44_qa_72,train,conv-44,72,Audrey,Andrew,How did Audrey describe she dog he met at the pet store?,"Speaker A: Audrey
Speaker B: Andrew
Question: How did Audrey describe she dog he met at the pet store?",4,fallback_ambiguous,speaker_a
conv-44_qa_73,train,conv-44,73,Audrey,Andrew,Why did Audrey think positive reinforcement training is important for pets?,"Speaker A: Audrey
Speaker B: Andrew
Question: Why did Audrey think positive reinforcement training is important for pets?",4,fallback_ambiguous,speaker_a
conv-44_qa_74,train,conv-44,74,Audrey,Andrew,What challenge is Andrew facing in their search for a pet?,"Speaker A: Audrey
Speaker B: Andrew
Question: What challenge is Andrew facing in their search for a pet?",4,fallback_ambiguous,speaker_b
conv-44_qa_75,train,conv-44,75,Audrey,Andrew,How does Andrew feel about their search for a pet-friendly place?,"Speaker A: Audrey
Speaker B: Andrew
Question: How does Andrew feel about their search for a pet-friendly place?",4,fallback_ambiguous,speaker_b
conv-44_qa_76,train,conv-44,76,Audrey,Andrew,What outdoor activities does Andrew plan on trying after the rock climbing class?,"Speaker A: Audrey
Speaker B: Andrew
Question: What outdoor activities does Andrew plan on trying after the rock climbing class?",4,fallback_ambiguous,speaker_b
conv-44_qa_77,train,conv-44,77,Audrey,Andrew,How long does Audrey typically walk her dogs for?,"Speaker A: Audrey
Speaker B: Andrew
Question: How long does Audrey typically walk her dogs for?",4,fallback_ambiguous,speaker_a
conv-44_qa_78,train,conv-44,78,Audrey,Andrew,"What did Audrey set up in the backyard for their dogs on June 26, 2023?","Speaker A: Audrey
Speaker B: Andrew
Question: What did Audrey set up in the backyard for their dogs on June 26, 2023?",4,fallback_ambiguous,speaker_a
conv-44_qa_79,train,conv-44,79,Audrey,Andrew,"What did Audrey and her friends stumble across during a hike a few years back, as mentioned on June 26, 2023?","Speaker A: Audrey
Speaker B: Andrew
Question: What did Audrey and her friends stumble across during a hike a few years back, as mentioned on June 26, 2023?",4,fallback_ambiguous,speaker_a
conv-44_qa_80,train,conv-44,80,Audrey,Andrew,"What is Audrey's favorite recipe that she shares with Andrew on 3 July, 2023?","Speaker A: Audrey
Speaker B: Andrew
Question: What is Audrey's favorite recipe that she shares with Andrew on 3 July, 2023?",4,fallback_ambiguous,both
conv-44_qa_81,train,conv-44,81,Audrey,Andrew,"What dish is one of Audrey's favorite dishes that includes garlic and is shared with Andrew on 3 July, 2023?","Speaker A: Audrey
Speaker B: Andrew
Question: What dish is one of Audrey's favorite dishes that includes garlic and is shared with Andrew on 3 July, 2023?",4,fallback_ambiguous,both
conv-44_qa_82,train,conv-44,82,Audrey,Andrew,"What did Andrew and his GF do on the Monday before July 24, 2023?","Speaker A: Audrey
Speaker B: Andrew
Question: What did Andrew and his GF do on the Monday before July 24, 2023?",4,fallback_ambiguous,speaker_b
conv-44_qa_83,train,conv-44,83,Audrey,Andrew,What is the name of Audrey's childhood dog?,"Speaker A: Audrey
Speaker B: Andrew
Question: What is the name of Audrey's childhood dog?",4,fallback_ambiguous,speaker_a
conv-44_qa_84,train,conv-44,84,Audrey,Andrew,"What special memories does Audrey have with her childhood dog, Max?","Speaker A: Audrey
Speaker B: Andrew
Question: What special memories does Audrey have with her childhood dog, Max?",4,fallback_ambiguous,speaker_a
conv-44_qa_85,train,conv-44,85,Audrey,Andrew,What are some of the personalities of Audrey's four fur babies?,"Speaker A: Audrey
Speaker B: Andrew
Question: What are some of the personalities of Audrey's four fur babies?",4,fallback_ambiguous,speaker_a
conv-44_qa_86,train,conv-44,86,Audrey,Andrew,"What type of classes did Audrey start with her pups recently on 4 August, 2023?","Speaker A: Audrey
Speaker B: Andrew
Question: What type of classes did Audrey start with her pups recently on 4 August, 2023?",4,fallback_ambiguous,speaker_a
conv-44_qa_87,train,conv-44,87,Audrey,Andrew,How often does Audrey take her pups to the park for practice?,"Speaker A: Audrey
Speaker B: Andrew
Question: How often does Audrey take her pups to the park for practice?",4,fallback_ambiguous,speaker_a
conv-44_qa_88,train,conv-44,88,Audrey,Andrew,How long did the trail hike that Audrey went on with her pups take?,"Speaker A: Audrey
Speaker B: Andrew
Question: How long did the trail hike that Audrey went on with her pups take?",4,fallback_ambiguous,speaker_a
conv-44_qa_89,train,conv-44,89,Audrey,Andrew,What advice did Audrey give to Andrew regarding grooming Toby?,"Speaker A: Audrey
Speaker B: Andrew
Question: What advice did Audrey give to Andrew regarding grooming Toby?",4,fallback_ambiguous,both
conv-44_qa_90,train,conv-44,90,Audrey,Andrew,What is essential to keep the dogs looking good according to Audrey?,"Speaker A: Audrey
Speaker B: Andrew
Question: What is essential to keep the dogs looking good according to Audrey?",4,fallback_ambiguous,speaker_a
conv-44_qa_91,train,conv-44,91,Audrey,Andrew,What did Audrey organize with the neighbors' dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: What did Audrey organize with the neighbors' dogs?",4,fallback_ambiguous,speaker_a
conv-44_qa_92,train,conv-44,92,Audrey,Andrew,What did Audrey do to give her dogs extra comfort as the weather cooled down?,"Speaker A: Audrey
Speaker B: Andrew
Question: What did Audrey do to give her dogs extra comfort as the weather cooled down?",4,fallback_ambiguous,speaker_a
conv-44_qa_93,train,conv-44,93,Audrey,Andrew,How does Audrey describe the new beds for her dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: How does Audrey describe the new beds for her dogs?",4,fallback_ambiguous,speaker_a
conv-44_qa_94,train,conv-44,94,Audrey,Andrew,How did Audrey calm down her dog after the leash incident?,"Speaker A: Audrey
Speaker B: Andrew
Question: How did Audrey calm down her dog after the leash incident?",4,fallback_ambiguous,speaker_a
conv-44_qa_95,train,conv-44,95,Audrey,Andrew,How often does Audrey take her dogs for walks?,"Speaker A: Audrey
Speaker B: Andrew
Question: How often does Audrey take her dogs for walks?",4,fallback_ambiguous,speaker_a
conv-44_qa_96,train,conv-44,96,Audrey,Andrew,What kind of flowers does Audrey take care of?,"Speaker A: Audrey
Speaker B: Andrew
Question: What kind of flowers does Audrey take care of?",4,fallback_ambiguous,speaker_a
conv-44_qa_97,train,conv-44,97,Audrey,Andrew,What did Andrew learn from reading books about ecological systems?,"Speaker A: Audrey
Speaker B: Andrew
Question: What did Andrew learn from reading books about ecological systems?",4,fallback_ambiguous,speaker_b
conv-44_qa_98,train,conv-44,98,Audrey,Andrew,What did Andrew suggest as a way to reduce carbon footprint?,"Speaker A: Audrey
Speaker B: Andrew
Question: What did Andrew suggest as a way to reduce carbon footprint?",4,fallback_ambiguous,speaker_b
conv-44_qa_99,train,conv-44,99,Audrey,Andrew,How does Andrew suggest helping the planet while also training the body?,"Speaker A: Audrey
Speaker B: Andrew
Question: How does Andrew suggest helping the planet while also training the body?",4,fallback_ambiguous,speaker_b
conv-44_qa_100,train,conv-44,100,Audrey,Andrew,"What did Audrey do with her pups over the weekend before 4th October, 2023?","Speaker A: Audrey
Speaker B: Andrew
Question: What did Audrey do with her pups over the weekend before 4th October, 2023?",4,fallback_ambiguous,speaker_a
conv-44_qa_101,train,conv-44,101,Audrey,Andrew,What was the reason Audrey couldn't walk her dogs for a period of time?,"Speaker A: Audrey
Speaker B: Andrew
Question: What was the reason Audrey couldn't walk her dogs for a period of time?",4,fallback_ambiguous,speaker_a
conv-44_qa_102,train,conv-44,102,Audrey,Andrew,What type of jewelry does Audrey make?,"Speaker A: Audrey
Speaker B: Andrew
Question: What type of jewelry does Audrey make?",4,fallback_ambiguous,speaker_a
conv-44_qa_103,train,conv-44,103,Audrey,Andrew,Why does Audrey make jewelry out of recycled objects?,"Speaker A: Audrey
Speaker B: Andrew
Question: Why does Audrey make jewelry out of recycled objects?",4,fallback_ambiguous,speaker_a
conv-44_qa_104,train,conv-44,104,Audrey,Andrew,What organization does Audrey donate a portion of his profits to?,"Speaker A: Audrey
Speaker B: Andrew
Question: What organization does Audrey donate a portion of his profits to?",4,fallback_ambiguous,speaker_a
conv-44_qa_105,train,conv-44,105,Audrey,Andrew,How does Audrey help out the animal shelter?,"Speaker A: Audrey
Speaker B: Andrew
Question: How does Audrey help out the animal shelter?",4,fallback_ambiguous,speaker_a
conv-44_qa_106,train,conv-44,106,Audrey,Andrew,What type of games do Audrey's dogs like to play at the park?,"Speaker A: Audrey
Speaker B: Andrew
Question: What type of games do Audrey's dogs like to play at the park?",4,fallback_ambiguous,speaker_a
conv-44_qa_107,train,conv-44,107,Audrey,Andrew,What did Audrey make to thank her neighbors?,"Speaker A: Audrey
Speaker B: Andrew
Question: What did Audrey make to thank her neighbors?",4,fallback_ambiguous,speaker_a
conv-44_qa_108,train,conv-44,108,Audrey,Andrew,How do Audrey's dogs react to snow?,"Speaker A: Audrey
Speaker B: Andrew
Question: How do Audrey's dogs react to snow?",4,fallback_ambiguous,speaker_a
conv-44_qa_109,train,conv-44,109,Audrey,Andrew,How does Audrey describe her dogs' response to snow?,"Speaker A: Audrey
Speaker B: Andrew
Question: How does Audrey describe her dogs' response to snow?",4,fallback_ambiguous,speaker_a
conv-44_qa_110,train,conv-44,110,Audrey,Andrew,What kind of experiences are Audrey's dogs the best companions for?,"Speaker A: Audrey
Speaker B: Andrew
Question: What kind of experiences are Audrey's dogs the best companions for?",4,fallback_ambiguous,speaker_a
conv-44_qa_111,train,conv-44,111,Audrey,Andrew,What activity do Andrew and Buddy enjoy doing together?,"Speaker A: Audrey
Speaker B: Andrew
Question: What activity do Andrew and Buddy enjoy doing together?",4,fallback_ambiguous,speaker_b
conv-44_qa_112,train,conv-44,112,Audrey,Andrew,What do Andrew and Buddy like doing on walks?,"Speaker A: Audrey
Speaker B: Andrew
Question: What do Andrew and Buddy like doing on walks?",4,fallback_ambiguous,speaker_b
conv-44_qa_113,train,conv-44,113,Audrey,Andrew,What cuisine did Andrew recently try at a new spot in town?,"Speaker A: Audrey
Speaker B: Andrew
Question: What cuisine did Andrew recently try at a new spot in town?",4,fallback_ambiguous,speaker_b
conv-44_qa_114,train,conv-44,114,Audrey,Andrew,Which type of sushi did Audrey suggest trying first to someone new to sushi?,"Speaker A: Audrey
Speaker B: Andrew
Question: Which type of sushi did Audrey suggest trying first to someone new to sushi?",4,fallback_ambiguous,speaker_a
conv-44_qa_115,train,conv-44,115,Audrey,Andrew,What type of date is Andrew going on Sunday?,"Speaker A: Audrey
Speaker B: Andrew
Question: What type of date is Andrew going on Sunday?",4,fallback_ambiguous,speaker_b
conv-44_qa_116,train,conv-44,116,Audrey,Andrew,"What did Andrew and Audrey plan to do on the Saturday after October 28, 2023?","Speaker A: Audrey
Speaker B: Andrew
Question: What did Andrew and Audrey plan to do on the Saturday after October 28, 2023?",4,fallback_ambiguous,both
conv-44_qa_117,train,conv-44,117,Audrey,Andrew,What aspect of autumn does Andrew find beautiful?,"Speaker A: Audrey
Speaker B: Andrew
Question: What aspect of autumn does Andrew find beautiful?",4,fallback_ambiguous,speaker_b
conv-44_qa_118,train,conv-44,118,Audrey,Andrew,What did Audrey do in November 2023 to better take care of her dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: What did Audrey do in November 2023 to better take care of her dogs?",4,fallback_ambiguous,speaker_a
conv-44_qa_119,train,conv-44,119,Audrey,Andrew,How often does Audrey meet up with other dog owners for tips and playdates?,"Speaker A: Audrey
Speaker B: Andrew
Question: How often does Audrey meet up with other dog owners for tips and playdates?",4,fallback_ambiguous,speaker_a
conv-44_qa_120,train,conv-44,120,Audrey,Andrew,What did Audrey share to show ways to keep dogs active in the city?,"Speaker A: Audrey
Speaker B: Andrew
Question: What did Audrey share to show ways to keep dogs active in the city?",4,fallback_ambiguous,speaker_a
conv-44_qa_121,train,conv-44,121,Audrey,Andrew,What type of activities does Audrey suggest for mental stimulation of the dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: What type of activities does Audrey suggest for mental stimulation of the dogs?",4,fallback_ambiguous,speaker_a
conv-44_qa_122,train,conv-44,122,Audrey,Andrew,"What is Andrew planning to do with Scout, Toby, and Buddy?","Speaker A: Audrey
Speaker B: Andrew
Question: What is Andrew planning to do with Scout, Toby, and Buddy?",4,fallback_ambiguous,speaker_b
