method,run_id,sample_id,qa_index,category,memory_update_mode,memory_wrapper_store,judge_mode,judge_runs,question,ground_truth,predicted_answer,exact_match,f1,bleu1,judge_score,judge_reason,judge_scores,judge_labels,judge_cache_key,search_latency_sec,generation_latency_sec,total_latency_sec,prompt_tokens,completion_tokens,total_tokens,num_retrieved_memories,num_speaker_1_memories,num_speaker_2_memories,top_k_per_speaker,max_total_retrieved_memories,retrieval_token_budget,retrieval_budget_strategy,retrieval_token_budget_applied,speaker_1_memory_tokens,speaker_2_memory_tokens,retrieved_memory_tokens,speaker_1_memory_tokens_pre_trim,speaker_2_memory_tokens_pre_trim,retrieved_memory_tokens_pre_trim,num_retrieved_memories_pre_trim,num_retrieved_memories_dropped_by_budget,top1_memory_score,semantic_search_latency_sec,qase_bm25_latency_sec,qase_planner_latency_sec,qase_selector_latency_sec
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,11,2,paper_update_wrapper,json_local,paper_binary,5,How long has Caroline had her current group of friends for?,4 years,4 years,1.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",f6c11fdee3c6dd18b32c5aca8ac27d7f1722cb93b1f3f2a1826c4a369783840d,0.6785864304110873,1.5202877521514893,2.1988741825625766,634,70,704,3,3,0,15,22,,interleave_rank,False,158,0,158,158,0,158,3,0,0.7426521182060242,0.6612412929534912,0.012486696243286133,0.0005619000003207475,0.004296541213989258
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,12,1,paper_update_wrapper,json_local,paper_binary,5,Where did Caroline move from 4 years ago?,Sweden,Her home country,0.0,0.0,0.0,0.8,,"[1.0, 1.0, 0.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'WRONG', 'CORRECT', 'CORRECT']",42a410335ffda9ceab5beff097830d7543163cce051497e111223a8e63fa6555,0.5326165156147908,2.8206217288970947,3.3532382445118856,1433,195,1628,20,16,4,15,22,,interleave_rank,False,808,118,926,808,118,926,20,0,0.7600430250167847,0.48838138580322266,0.011027336120605469,0.0003858999989461154,0.0328218936920166
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,13,2,paper_update_wrapper,json_local,paper_binary,5,How long ago was Caroline's 18th birthday?,10 years ago,Ten years ago.,0.0,0.6666666666666666,0.6666666666666666,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",7b271c2ba95daaa58cdeebd79a9073a805d8149ddd1f614c1d36d9227a8864f9,0.4273601587046869,2.9274938106536865,3.3548539693583734,632,211,843,3,3,0,15,22,,interleave_rank,False,157,0,157,157,0,157,3,0,0.5649142265319824,0.4095649719238281,0.013942718505859375,0.00038919999497011304,0.003463268280029297
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,14,1,paper_update_wrapper,json_local,paper_binary,5,What career path has Caroline decided to persue?,counseling or mental health for Transgender people,Counseling and mental health.,0.0,0.5454545454545454,0.354274914555761,0.6,,"[1.0, 1.0, 0.0, 0.0, 1.0]","['CORRECT', 'CORRECT', 'WRONG', 'WRONG', 'CORRECT']",aef5a0cd0f0de4f0eb4209f4ea45f9ed97a0a24ff159ff0bfdec48fb8b036c88,0.4174326006032061,1.38214111328125,1.799573713884456,547,62,609,2,1,1,15,22,,interleave_rank,False,46,28,74,46,28,74,2,0,0.6479057669639587,0.3996446132659912,0.011935234069824219,0.0003850999928545207,0.005467653274536133
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,15,3,paper_update_wrapper,json_local,paper_binary,5,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,Likely no,"No, support motivated her.",0.0,0.3333333333333333,0.25,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",9e70ecc3419f0d61ca37215e254bffea12756c8688116ad25e8d2e6cdca4166c,0.4424100812029792,4.122590065002441,4.565000146205421,1491,312,1803,20,18,2,15,22,,interleave_rank,False,912,62,974,912,62,974,20,0,0.6120011210441589,0.39728832244873047,0.015170097351074219,0.000408500010962598,0.029543161392211914
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,16,1,paper_update_wrapper,json_local,paper_binary,5,What activities does Melanie partake in?,"pottery, camping, painting, swimming","Painting, running, reading, hiking.",0.0,0.25,0.25,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",b82df9a5573ff141b83d587444d692152039c247fb025625bde0bad8128ea2ab,0.44407807716925163,3.6327340602874756,4.076812137456727,1325,277,1602,20,4,16,15,22,,interleave_rank,False,172,649,821,172,649,821,20,0,0.49667397141456604,0.42112255096435547,0.006276369094848633,0.0002184999902965501,0.016460657119750977
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,17,2,paper_update_wrapper,json_local,paper_binary,5,When did Melanie sign up for a pottery class?,2 July 2023,"July 2, 2023",0.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",17064a80dcbac3993e70e2916adf8c4d5f3a2b7caff514617c0a49bc5b6670c5,0.4090412200166611,2.576648235321045,2.985689455337706,1265,134,1399,3,0,3,15,22,,interleave_rank,False,0,140,140,0,140,140,3,0,0.8798937797546387,0.39495229721069336,0.00997781753540039,0.00025540000933688134,0.0038557052612304688
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,18,2,paper_update_wrapper,json_local,paper_binary,5,When is Caroline going to the transgender conference?,July 2023,July 2023,1.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",62efb0092e6506c167b5377262202d1332f77a9832477891ed9a48d81630162f,0.45424287125933915,1.8620872497558594,2.3163301210151985,648,82,730,3,3,0,15,22,,interleave_rank,False,175,0,175,175,0,175,3,0,0.8276009559631348,0.43629956245422363,0.013206243515014648,0.0002753000007942319,0.004461765289306641
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,19,1,paper_update_wrapper,json_local,paper_binary,5,Where has Melanie camped?,"beach, mountains, forest",Beach and mountains.,0.0,0.6666666666666666,0.6666666666666666,0.8,,"[1.0, 1.0, 1.0, 1.0, 0.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'WRONG']",06641aa3c6212eb977f7d6df1f3ae7581d5573c44822cb45859a60c8b5657281,0.49530448694713414,3.0430986881256104,3.5384031750727445,1503,254,1757,20,4,16,15,22,,interleave_rank,False,172,826,998,172,826,998,20,0,0.507998526096344,0.4559900760650635,0.011844396591186523,0.00018420000560581684,0.02728581428527832
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,20,1,paper_update_wrapper,json_local,paper_binary,5,What do Melanie's kids like?,"dinosaurs, nature","Camping, beach, and art.",0.0,0.0,0.0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",957a827ccb649cabd23b1c23ef21ba896cf60416a6c03ea3c9c9a5222547cd64,0.39428188298188616,2.807666301727295,3.201948184709181,937,155,1092,10,0,10,15,22,,interleave_rank,False,0,452,452,0,452,452,10,0,0.6233652830123901,0.37534356117248535,0.011662721633911133,0.00018980000459123403,0.0070858001708984375
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,21,2,paper_update_wrapper,json_local,paper_binary,5,When did Melanie go to the museum?,5 July 2023,"July 5, 2023",0.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",1179aad34ec7e7d64402ac011a4d9d198217926fbcfb9c7e0bb11bf74d95e523,0.4222936925361864,1.3360209465026855,1.758314639038872,654,56,710,3,0,3,15,22,,interleave_rank,False,0,181,181,0,181,181,3,0,0.6725643277168274,0.4140760898590088,0.006693601608276367,0.00020650000078603625,0.0013175010681152344
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,22,2,paper_update_wrapper,json_local,paper_binary,5,When did Caroline have a picnic?,The week before 6 July 2023,No picnic mentioned.,0.0,0.0,0.0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",097a167bb54f4c6af2d53c9527ca320a133d105424621041a70cdd63aa87c59b,0.43908622943854425,1.9107718467712402,2.3498580762097845,1321,72,1393,16,13,3,15,22,,interleave_rank,False,676,147,823,676,147,823,16,0,0.5499839782714844,0.424879789352417,0.010514020919799805,0.00021270000434014946,0.0034797191619873047
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,23,3,paper_update_wrapper,json_local,paper_binary,5,Would Caroline likely have Dr. Seuss books on her bookshelf?,"Yes, since she collects classic children's books","Yes, classics include them.",0.0,0.18181818181818182,0.11809163818525367,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",04d642e06e119ac394661f776443b69cf706c3ba5a697772f6911154f6f93869,0.4435515152727021,1.718116044998169,2.161667560270871,1301,101,1402,20,13,7,15,22,,interleave_rank,False,524,264,788,524,264,788,20,0,0.56145179271698,0.4110069274902344,0.00863194465637207,0.0009279000078095123,0.022984743118286133
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,24,1,paper_update_wrapper,json_local,paper_binary,5,What books has Melanie read?,"""Nothing is Impossible"", ""Charlotte's Web""",Charlotte's Web,0.0,0.5714285714285715,0.22313016014842982,0.2,,"[0.0, 0.0, 0.0, 0.0, 1.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'CORRECT']",075e6adbe246c5a9a02d479d7682976913edbaf632bda3a8573789d0fb8e16c2,0.5683904427714879,2.824852228164673,3.3932426709361607,1304,201,1505,20,2,18,15,22,,interleave_rank,False,88,711,799,88,711,799,20,0,0.4213970899581909,0.5353367328643799,0.009750843048095703,0.0005779999919468537,0.02272486686706543
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,25,1,paper_update_wrapper,json_local,paper_binary,5,What does Melanie do to destress?,"Running, pottery",Running.,0.0,0.6666666666666666,0.36787944117144233,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",b6de7eb881d314d12ab457a8a76de787dd7d10b36b00413a282e98c9ff62e203,0.5601102316431934,2.56965970993042,3.1297699415736133,555,218,773,2,0,2,15,22,,interleave_rank,False,0,85,85,0,85,85,2,0,0.65225750207901,0.5463352203369141,0.012113094329833984,0.0003046000056201592,0.0013573169708251953
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,26,2,paper_update_wrapper,json_local,paper_binary,5,When did Caroline go to the LGBTQ conference?,10 July 2023,July 2023,0.0,0.8,0.6065306597126334,0.8,,"[1.0, 1.0, 0.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'WRONG', 'CORRECT', 'CORRECT']",2aad96ae672d3136943866247ad1f7934d9593dca47b62d85ef3f067439dc2d0,0.3929503939289134,2.0058717727661133,2.3988221666950267,638,136,774,3,3,0,15,22,,interleave_rank,False,165,0,165,165,0,165,3,0,0.7420622706413269,0.37496018409729004,0.01314544677734375,0.00037059999885968864,0.004474163055419922
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,27,2,paper_update_wrapper,json_local,paper_binary,5,"When did Melanie read the book ""nothing is impossible""?",2022,2022,1.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",085a4e88906156655871d3c180066b93aaa008c768f5c935890cbdf39a2310f4,0.5321190476824995,2.272245168685913,2.8043642163684126,615,193,808,3,0,3,15,22,,interleave_rank,False,0,140,140,0,140,140,3,0,0.5912090539932251,0.5198812484741211,0.007893562316894531,0.0004933000018354505,0.0038509368896484375
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,28,3,paper_update_wrapper,json_local,paper_binary,5,Would Caroline pursue writing as a career option?,"LIkely no; though she likes reading, she wants to be a counselor","No, she wants counseling.",0.0,0.39999999999999997,0.13033045758783385,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",b09e470bafe513dea5458ef19ed028c7e87c522918b1f525026792d0eecab877,0.3911948934692191,1.8563752174377441,2.2475701109069632,1339,73,1412,20,12,8,15,22,,interleave_rank,False,520,310,830,520,310,830,20,0,0.5130362510681152,0.36959385871887207,0.005767822265625,0.00044829999387729913,0.015384912490844727
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,29,2,paper_update_wrapper,json_local,paper_binary,5,When did Caroline go to the adoption meeting?,The friday before 15 July 2023,14 July 2023,0.0,0.5,0.3422780793550613,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",e81f7bba78f3854964de75cc6f9a4d19f4dbbd159caf836709f2a43128d4d8c6,0.4494051739166025,1.8817369937896729,2.3311421677062754,646,104,750,3,3,0,15,22,,interleave_rank,False,173,0,173,173,0,173,3,0,0.7305190563201904,0.4339292049407959,0.011008739471435547,0.00036189999082125723,0.004105329513549805
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,30,2,paper_update_wrapper,json_local,paper_binary,5,When did Melanie go to the pottery workshop?,The Friday before 15 July 2023,"July 14, 2023",0.0,0.5,0.3422780793550613,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",3f69b93833f9273cf9a882a12103143cff0b822f1754247396c0f0651340c1ab,0.4689627681946149,1.6571857929229736,2.1261485611175885,1212,113,1325,16,2,14,15,22,,interleave_rank,False,78,637,715,78,637,715,16,0,0.5083791613578796,0.45409297943115234,0.011651039123535156,0.00029240000003483146,0.002926349639892578
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,31,3,paper_update_wrapper,json_local,paper_binary,5,Would Melanie be considered a member of the LGBTQ community?,"Likely no, she does not refer to herself as part of it",Not directly indicated.,0.0,0.13333333333333333,0.016595689455954646,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",7e75237a68247cc83f00770901fb186683aaa7324569e4d4f2a0607ffd4c1ed5,0.6719625159312272,2.459299325942993,3.1312618418742204,1369,147,1516,20,8,12,15,22,,interleave_rank,False,391,467,858,391,467,858,20,0,0.4866959750652313,0.628368616104126,0.01132965087890625,0.0003040000010514632,0.031960248947143555
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,32,2,paper_update_wrapper,json_local,paper_binary,5,When did Melanie go camping in June?,The week before 27 June 2023,No June camping trip recorded.,0.0,0.20000000000000004,0.2,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",ba753a093de582c3a220d890200928aa94eda07ce15665adf9081adb57b8c15e,0.4135553758824244,3.5353784561157227,3.948933831998147,653,301,954,3,0,3,15,22,,interleave_rank,False,0,181,181,0,181,181,3,0,0.7675831317901611,0.4012439250946045,0.00973057746887207,0.0002128999913111329,0.0023679733276367188
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,33,1,paper_update_wrapper,json_local,paper_binary,5,What LGBTQ+ events has Caroline participated in?,"Pride parade, school speech, support group","Pride parades, workshops, poetry reading.",0.0,0.1818181818181818,0.1637461506155964,0.2,,"[1.0, 0.0, 0.0, 0.0, 0.0]","['CORRECT', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",bfbed4ac18621fc7ce187992345c864df2b5cead2234591e0089b697cec9e550,0.5453421374986647,7.973956346511841,8.519298484010505,1632,741,2373,20,18,2,15,22,,interleave_rank,False,1022,104,1126,1022,104,1126,20,0,0.6678306460380554,0.5129287242889404,0.00889134407043457,0.0002548000047681853,0.023267269134521484
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,34,2,paper_update_wrapper,json_local,paper_binary,5,When did Caroline go to a pride parade during the summer?,The week before 3 July 2023,11 August 2023,0.0,0.25,0.17113903967753066,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",c56dc2e3ffc4d1851793a3d0d4d4209f24f57ed73926acb0c21dbbdf912ec156,0.470392248040298,2.8444721698760986,3.3148644179163966,1323,248,1571,16,13,3,15,22,,interleave_rank,False,675,147,822,675,147,822,16,0,0.7484870553016663,0.45329928398132324,0.013775110244750977,0.0002865999995265156,0.0030312538146972656
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,35,1,paper_update_wrapper,json_local,paper_binary,5,What events has Caroline participated in to help children?,"Mentoring program, school speech","Talent show, adoption group, school talk.",0.0,0.2,0.16666666666666666,0.2,,"[0.0, 0.0, 0.0, 0.0, 1.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'CORRECT']",a174401b1f3a906629b84d416c4823b68e83868d6be6e8f6ecb1ddd585f2f748,0.47889973170822486,4.064363956451416,4.543263688159641,1442,339,1781,20,18,2,15,22,,interleave_rank,False,869,66,935,869,66,935,20,0,0.5736709237098694,0.43462514877319336,0.01248025894165039,0.00042130000656470656,0.031373023986816406
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,36,2,paper_update_wrapper,json_local,paper_binary,5,When did Melanie go camping in July?,two weekends before 17 July 2023,"July 8, 2023",0.0,0.4444444444444444,0.24525296078096154,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",8a8d3a1e9c8669f46892db564a1f00119dbed7cbe076f23a75664985b55c76ec,0.5441732138133375,3.024014472961426,3.5681876867747633,1358,271,1629,16,3,13,15,22,,interleave_rank,False,138,721,859,138,721,859,16,0,0.5879805088043213,0.5284910202026367,0.01272130012512207,0.0004059999919263646,0.0025548934936523438
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,37,2,paper_update_wrapper,json_local,paper_binary,5,When did Caroline join a mentorship program?,The weekend before 17 July 2023,"July 15-16, 2023",0.0,0.5,0.3422780793550613,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",fd66b9e0d0e5b32e0c0a57daa1b90e3f26e235adacc312dafbd3f211caa266fe,0.544510309890029,2.2971253395080566,2.8416356493980857,622,204,826,3,3,0,15,22,,interleave_rank,False,151,0,151,151,0,151,3,0,0.7177854776382446,0.5359728336334229,0.005956888198852539,0.0004651000053854659,0.002115488052368164
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,38,1,paper_update_wrapper,json_local,paper_binary,5,What did Melanie paint recently?,sunset,Horse painting and sunflower field.,0.0,0.0,0.0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",df8a1e651963a1409d16647898c10610d84ee585f3a8d5e39fda4ad19eea5764,0.40276505684596486,2.12115740776062,2.523922464606585,592,158,750,3,0,3,15,22,,interleave_rank,False,0,123,123,0,123,123,3,0,0.7673454880714417,0.38232874870300293,0.014589309692382812,0.0009289000008720905,0.004918098449707031
